sub_id,source,platform,complete,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
2026-07-03_09-22-11-824932,bot,cognitionrun,True,15,5,10,1.0,0.0,551.6,1.0,0.0,647.2,95.60000000000002,0.32898174021366716,
2026-07-03_09-32-47-896007,bot,cognitionrun,True,15,11,4,1.0,0.0,730.4545454545455,1.0,0.0,807.75,77.2954545454545,0.1283493950965416,
2026-07-03_09-33-43-729186,bot,cognitionrun,True,15,6,9,1.0,0.0,705.0,1.0,0.0,790.3333333333334,85.33333333333337,0.01016211293562819,
2026-07-03_09-34-37-181401,bot,cognitionrun,True,15,6,9,1.0,0.0,551.5,0.7777777777777778,0.0,639.2857142857143,87.78571428571433,0.5908528895339648,-139.66666666666663
2026-07-03_09-35-22-223255,bot,cognitionrun,True,15,8,7,1.0,0.0,648.5,0.8571428571428571,0.0,777.5,129.0,0.1491223493415837,
2026-07-03_09-36-13-147228,bot,cognitionrun,True,15,9,6,1.0,0.0,555.2222222222222,1.0,0.0,551.8333333333334,-3.3888888888888005,-0.11221860998112985,
2026-07-03_09-36-58-879475,bot,cognitionrun,True,15,5,10,1.0,0.0,565.0,1.0,0.0,718.3,153.29999999999995,0.05346280434739887,
2026-07-03_09-37-52-617203,bot,cognitionrun,True,15,7,8,1.0,0.0,616.1428571428571,1.0,0.0,648.625,32.48214285714289,-0.03156454865681735,
2026-07-03_09-38-46-024202,bot,cognitionrun,True,15,9,6,1.0,0.0,576.6666666666666,0.8333333333333334,0.0,670.4,93.73333333333335,0.005295408006759264,149.30769230769226
2026-07-03_09-39-32-103830,bot,cognitionrun,True,15,9,6,1.0,0.0,631.1111111111111,0.6666666666666666,0.0,770.25,139.1388888888889,0.13780865217420263,-96.41666666666663
2026-07-03_09-40-28-630524,bot,cognitionrun,True,15,7,8,1.0,0.0,618.1428571428571,0.875,0.0,589.8571428571429,-28.28571428571422,-0.23532103313181726,-112.30769230769226
2026-07-03_09-41-19-077417,bot,cognitionrun,True,15,11,4,1.0,0.0,649.9090909090909,1.0,0.0,648.0,-1.909090909090878,0.36362320752945376,
2026-07-03_09-42-05-816907,bot,cognitionrun,True,15,7,8,1.0,0.0,531.4285714285714,0.75,0.0,530.6666666666666,-0.761904761904816,0.16602347909560794,86.08333333333337
2026-07-03_09-42-52-478824,bot,cognitionrun,True,15,9,6,1.0,0.0,499.55555555555554,1.0,0.0,590.0,90.44444444444446,-0.19587058632240517,
2026-07-03_09-43-44-785741,bot,cognitionrun,True,15,5,10,1.0,0.0,557.8,1.0,0.0,625.8,68.0,-0.17019132855885655,
2026-07-03_09-44-29-110993,bot,cognitionrun,True,15,6,9,0.8333333333333334,0.0,732.0,0.8888888888888888,0.0,744.125,12.125,-0.06598478733529044,-428.66666666666674
2026-07-03_09-45-22-363823,bot,cognitionrun,True,15,6,9,1.0,0.0,632.3333333333334,0.8888888888888888,0.0,1586.0,953.6666666666666,-0.029810534428745983,-487.0
2026-07-03_09-46-19-328917,bot,cognitionrun,True,15,9,6,1.0,0.0,581.6666666666666,0.6666666666666666,0.0,588.75,7.083333333333371,0.06864619833532064,204.9230769230769
2026-07-03_09-47-07-963756,bot,cognitionrun,True,15,9,6,1.0,0.0,670.1111111111111,0.8333333333333334,0.0,825.6,155.48888888888894,-0.14424391319577132,8.769230769230717
2026-07-03_09-47-58-272996,bot,cognitionrun,True,15,11,4,0.9090909090909091,0.0,605.2,1.0,0.0,627.25,22.049999999999955,-0.1919641952080341,-35.0
2026-07-03_09-48-42-843387,bot,cognitionrun,True,15,2,13,1.0,0.0,768.5,1.0,0.0,709.1538461538462,-59.34615384615381,-0.4492439763432159,
2026-07-03_09-49-31-682488,bot,cognitionrun,True,15,11,4,1.0,0.0,559.4545454545455,0.5,0.0,554.5,-4.954545454545496,0.1152475594803555,154.16666666666663
2026-07-03_09-50-15-803710,bot,cognitionrun,True,15,9,6,1.0,0.0,744.2222222222222,1.0,0.0,849.0,104.77777777777783,0.3134608173264552,
2026-07-03_09-51-01-985690,bot,cognitionrun,True,15,8,7,1.0,0.0,1384.625,1.0,0.0,631.8571428571429,-752.7678571428571,-0.1040269481017268,
2026-07-03_09-51-56-160971,bot,cognitionrun,True,15,10,5,1.0,0.0,530.8,1.0,0.0,616.8,86.0,0.30132924362148017,
2026-07-03_09-52-42-827248,bot,cognitionrun,True,15,7,8,1.0,0.0,697.0,1.0,0.0,746.25,49.25,-0.06701114019527683,
2026-07-03_09-53-32-230931,bot,cognitionrun,True,15,8,7,1.0,0.0,632.25,1.0,0.0,716.4285714285714,84.17857142857144,-0.14714339137505103,
2026-07-03_09-54-18-980878,bot,cognitionrun,True,15,9,6,1.0,0.0,658.1111111111111,0.6666666666666666,0.0,735.0,76.88888888888891,0.2237806692817361,-65.5
2026-07-03_09-55-10-434431,bot,cognitionrun,True,15,8,7,0.875,0.0,694.4285714285714,1.0,0.0,814.5714285714286,120.14285714285711,0.049809864431771815,123.9230769230769
2026-07-03_09-55-54-199677,bot,cognitionrun,True,15,9,6,1.0,0.0,676.3333333333334,0.8333333333333334,0.0,768.4,92.0666666666666,0.16787803246943098,528.1538461538462
