sub_id,source,platform,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms,stop_acc_in_band
s001,human,human,600,420,180,0.9380952380952381,0.014285714285714285,758.8451776649746,758.0531400966183,616.0,0.48333333333333334,800.0,447.77777777777777,200.0,400.0,311.0673998871968,0.010601283168310983,44.10659424433004,True
s002,human,human,600,420,180,0.9285714285714286,0.002380952380952381,676.7153846153847,677.0644391408115,682.5,0.4722222222222222,600.0,369.44444444444446,150.0,300.0,307.2709401709402,-0.008132525927971264,32.366074473163735,True
s003,human,human,600,420,180,0.8809523809523809,0.02142857142857143,453.35945945945946,452.5158150851581,469.11764705882354,0.8777777777777778,250.0,11.38888888888889,0.0,0.0,441.97057057057054,-0.07766009913781892,40.318698574210146,False
s004,human,human,600,420,180,0.9976190476190476,0.0,727.6825775656324,727.9214285714286,,0.4666666666666667,650.0,485.0,250.0,500.0,242.6825775656324,-0.014294976339549969,22.18843190854875,True
s005,human,human,600,420,180,0.9523809523809523,0.014285714285714285,580.555,579.9444444444445,482.0,0.4777777777777778,550.0,313.8888888888889,0.0,500.0,266.66611111111104,0.040423990384164527,4.514271806853571,True
s006,human,human,600,420,180,0.7952380952380952,0.08333333333333333,665.434131736527,659.4987012987013,625.4,0.4222222222222222,600.0,285.8333333333333,0.0,150.0,379.60079840319366,0.053929568664980915,49.585676392572964,True
s007,human,human,600,420,180,0.8857142857142857,0.02857142857142857,714.1854838709677,714.6470588235294,577.8888888888889,0.4444444444444444,550.0,315.55555555555554,0.0,300.0,398.62992831541214,0.09224111365026456,-43.64458923318966,True
s008,human,human,600,420,180,0.8428571428571429,0.004761904761904762,548.0197740112994,545.0909090909091,593.0909090909091,0.45,450.0,220.55555555555554,0.0,100.0,327.4642184557439,-0.05905961720839285,16.829698058335453,True
s009,human,human,600,420,180,0.9809523809523809,0.007142857142857143,713.6601941747573,712.9112709832134,,0.4722222222222222,700.0,486.6666666666667,200.0,500.0,226.9935275080906,0.017103025535201422,12.062626262626168,True
s010,human,human,600,420,180,0.95,0.02619047619047619,550.5914786967419,554.3007334963326,512.25,0.6666666666666666,850.0,199.44444444444446,0.0,0.0,351.14703425229743,0.03889282329222156,12.871939132462671,True
s011,human,human,600,420,180,0.9904761904761905,0.0,565.2644230769231,566.4714285714285,540.0,0.4722222222222222,550.0,332.77777777777777,150.0,200.0,232.48664529914532,0.039961108537899796,-28.102692574035586,True
s012,human,human,600,420,180,0.9214285714285714,0.011904761904761904,592.7183462532299,598.0746987951808,501.0,0.49444444444444446,600.0,296.6666666666667,50.0,200.0,296.05167958656324,0.01561818038133422,40.919165580182494,True
s013,human,human,600,420,180,0.9952380952380953,0.0,524.4832535885167,524.5452380952381,426.0,0.48333333333333334,400.0,253.33333333333334,100.0,400.0,271.14992025518336,-0.005207580811339022,2.7741310301242947,True
s014,human,human,600,420,180,0.9404761904761905,0.023809523809523808,598.2405063291139,597.9341463414634,715.25,0.4666666666666667,550.0,341.1111111111111,50.0,400.0,257.12939521800286,-0.04063954383646994,34.314108600125564,True
s015,human,human,600,420,180,0.9595238095238096,0.002380952380952381,519.7394540942928,520.2100238663485,425.6,0.4666666666666667,450.0,280.0,100.0,400.0,239.7394540942928,-0.027892691646038584,22.35763991163475,True
s016,human,human,600,420,180,0.9214285714285714,0.004761904761904762,513.609819121447,513.311004784689,464.875,0.46111111111111114,350.0,198.88888888888889,0.0,300.0,314.7209302325581,-0.007926798671740353,24.082809154175607,True
s017,human,human,600,420,180,0.9714285714285714,0.002380952380952381,591.0686274509804,590.0930787589499,723.0,0.48333333333333334,600.0,341.1111111111111,100.0,500.0,249.95751633986936,0.05415077506152544,-38.12967257576349,True
s018,human,human,600,420,180,0.9452380952380952,0.002380952380952381,538.7783375314862,536.4343675417662,615.2857142857143,0.5111111111111111,400.0,189.16666666666666,0.0,300.0,349.61167086481953,0.023204476949651408,-1.380884823595295,True
s019,human,human,600,420,180,0.9380952380952381,0.007142857142857143,507.7715736040609,510.5083932853717,424.0,0.4888888888888889,500.0,273.8888888888889,100.0,400.0,233.882684715172,0.018098445773841367,11.945915954156817,True
s020,human,human,600,420,180,0.9166666666666666,0.014285714285714285,645.825974025974,645.9444444444445,321.5,0.4888888888888889,650.0,337.22222222222223,0.0,300.0,308.6037518037518,0.019034513474072756,-5.8046573875803915,True
s021,human,human,600,420,180,0.8119047619047619,0.11190476190476191,712.067448680352,705.8713136729223,835.0,0.5833333333333334,850.0,148.61111111111111,0.0,250.0,563.4563375692409,0.05413697734047588,16.504622571920322,True
s023,human,human,600,420,180,0.9880952380952381,0.0,733.1759036144579,736.5833333333334,777.0,0.4722222222222222,550.0,358.8888888888889,250.0,400.0,374.28701472556895,-0.006472968466713209,15.384529058116186,True
s025,human,human,600,420,180,0.95,0.0,562.2731829573935,560.3285714285714,656.8333333333334,0.46111111111111114,400.0,280.0,100.0,300.0,282.2731829573935,-0.019784271470870054,9.493851087071391,True
s026,human,human,600,420,180,0.9714285714285714,0.0,545.3553921568628,544.6595238095238,412.5,0.4888888888888889,650.0,331.6666666666667,150.0,300.0,213.68872549019608,-0.02408203367305295,33.0789627039627,True
s027,human,human,600,420,180,0.9833333333333333,0.007142857142857143,773.682808716707,769.8273381294964,837.5,0.3388888888888889,850.0,580.0,50.0,850.0,193.68280871670697,-0.06075548136284807,6.318007265179062,True
s028,human,human,600,420,180,0.9571428571428572,0.011904761904761904,620.455223880597,620.1518072289157,458.6666666666667,0.46111111111111114,600.0,336.1111111111111,50.0,500.0,284.34411276948595,0.051377947089730175,-17.785072629969363,True
s029,human,human,600,420,180,0.8714285714285714,0.007142857142857143,588.620218579235,592.9112709832134,498.75,0.45,500.0,313.3333333333333,150.0,300.0,275.2868852459017,0.039625672683233554,-29.039549549549577,True
s030,human,human,600,420,180,0.9833333333333333,0.0,630.181598062954,635.6785714285714,440.0,0.4777777777777778,650.0,400.0,250.0,400.0,230.18159806295398,0.022685116163705766,4.312378225774296,True
