sub_id,source,platform,complete,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms
2026-07-03_09-22-11-824495,bot,expfactory,True,180,120,60,0.9333333333333333,0.05,583.1160714285714,582.0263157894736,496.0,0.5,700.0,523.3333333333334,400.0,400.0,59.782738095238074,-0.00942261959374679,-8.720000000000027
2026-07-03_09-32-47-895721,bot,expfactory,True,180,120,60,0.9833333333333333,0.008333333333333333,573.6186440677966,574.2100840336135,482.8965517241379,0.5166666666666667,600.0,470.0,350.0,500.0,103.6186440677966,0.025400173810307607,89.01700680272108
2026-07-03_09-42-17-159553,bot,expfactory,True,180,120,60,0.975,0.025,581.8717948717949,581.8717948717949,537.0344827586207,0.5166666666666667,600.0,501.6666666666667,300.0,600.0,80.20512820512823,-0.1868340139188413,-23.195833333333326
2026-07-03_09-51-48-877300,bot,expfactory,True,180,120,60,0.9666666666666667,0.008333333333333333,552.4051724137931,548.7478991596639,473.3666666666667,0.5,650.0,443.3333333333333,200.0,500.0,109.07183908045982,0.2179135685090311,-26.01930654058316
2026-07-03_10-01-08-684672,bot,expfactory,True,180,120,60,0.9583333333333334,0.025,638.0,638.7264957264957,578.3,0.5,750.0,595.0,450.0,600.0,43.0,0.06915618894221975,1.9345584939489981
2026-07-03_10-10-35-536020,bot,expfactory,True,180,120,60,0.875,0.03333333333333333,618.6,626.7155172413793,565.7037037037037,0.55,750.0,570.0,350.0,600.0,48.60000000000002,0.04258052370366724,71.0636604774536
2026-07-03_10-19-34-398596,bot,expfactory,True,180,120,60,0.8583333333333333,0.03333333333333333,564.4174757281553,563.5258620689655,485.9642857142857,0.5333333333333333,700.0,495.0,400.0,700.0,69.4174757281553,0.037534400064823274,32.57665505226487
2026-07-03_10-29-08-190197,bot,expfactory,True,180,120,60,0.9333333333333333,0.05,596.2410714285714,599.1842105263158,513.25,0.5333333333333333,700.0,531.6666666666666,300.0,600.0,64.57440476190482,0.038448502417472386,4.2723595505617595
2026-07-03_10-37-48-906215,bot,expfactory,True,180,120,60,0.9833333333333333,0.016666666666666666,638.0932203389831,638.0932203389831,588.6,0.5,750.0,568.3333333333334,400.0,600.0,69.75988700564972,0.004338007736604125,14.748711340206228
2026-07-03_10-47-21-487801,bot,expfactory,True,180,120,60,0.975,0.025,581.8632478632478,581.8632478632478,495.93333333333334,0.5,650.0,538.3333333333334,450.0,500.0,43.529914529914436,0.08709697658444372,-34.500946969697
2026-07-03_10-56-54-057163,bot,expfactory,True,180,120,60,0.975,0.025,545.957264957265,545.957264957265,479.0,0.4666666666666667,600.0,483.3333333333333,350.0,400.0,62.623931623931696,-0.10274192416185439,13.48979591836735
2026-07-03_11-06-20-681273,bot,expfactory,True,180,120,60,0.8833333333333333,0.0,584.1603773584906,589.325,517.516129032258,0.48333333333333334,650.0,508.3333333333333,400.0,500.0,75.82704402515725,0.0033002680275941074,37.00555555555559
2026-07-03_11-33-06-018418,bot,expfactory,True,180,120,60,0.9833333333333333,0.0,649.3474576271186,648.0416666666666,560.25,0.5333333333333333,700.0,570.0,400.0,700.0,79.34745762711862,-0.08268148575182813,81.15316642120763
2026-07-03_11-42-29-849519,bot,expfactory,True,180,120,60,0.9166666666666666,0.016666666666666666,608.6,606.3813559322034,529.6428571428571,0.5333333333333333,650.0,553.3333333333334,450.0,600.0,55.26666666666665,0.07386426082816898,-2.3074534161490874
2026-07-03_11-52-00-256628,bot,expfactory,True,180,120,60,0.9583333333333334,0.03333333333333333,463.9130434782609,463.57758620689657,367.7,0.5,500.0,376.6666666666667,200.0,300.0,87.24637681159419,-0.04757188474189325,13.858695652173935
2026-07-03_12-01-30-716405,bot,expfactory,True,180,120,60,0.925,0.008333333333333333,543.2432432432432,544.5210084033613,483.1333333333333,0.5,600.0,471.6666666666667,250.0,600.0,71.57657657657654,-0.17472408471688783,3.3475935828877255
2026-07-03_12-10-55-380026,bot,expfactory,True,180,120,60,0.9166666666666666,0.0,493.3,494.44166666666666,420.43333333333334,0.5,550.0,403.3333333333333,300.0,400.0,89.9666666666667,-0.12428233701325524,37.56027667984188
2026-07-03_12-20-34-683537,bot,expfactory,True,180,120,60,0.8333333333333334,0.03333333333333333,545.06,547.6896551724138,504.2758620689655,0.5166666666666667,600.0,488.3333333333333,350.0,400.0,56.72666666666663,-0.04274024984258255,-18.82026143790847
2026-07-03_12-29-20-189958,bot,expfactory,True,180,120,60,0.9416666666666667,0.025,513.2212389380531,510.97435897435895,478.7241379310345,0.5166666666666667,600.0,478.3333333333333,350.0,500.0,34.88790560471983,0.0965410092680737,38.09010989010994
2026-07-03_17-41-34-200497,bot,expfactory,True,180,120,60,0.8916666666666667,0.041666666666666664,582.2429906542056,579.7391304347826,499.75,0.5333333333333333,650.0,503.3333333333333,350.0,600.0,78.90965732087233,0.14316690707611374,-4.020572450804934
2026-07-03_17-51-03-100296,bot,expfactory,True,180,120,60,0.9583333333333334,0.025,580.2086956521739,580.008547008547,507.44827586206895,0.5166666666666667,650.0,515.0,350.0,500.0,65.2086956521739,-0.06988908529306215,-17.04444444444448
2026-07-03_18-00-38-808561,bot,expfactory,True,180,120,60,0.8916666666666667,0.041666666666666664,535.1401869158879,534.5043478260869,462.82758620689657,0.5166666666666667,550.0,465.0,350.0,500.0,70.14018691588785,-0.009166099215527818,18.95684523809524
2026-07-03_18-10-20-510963,bot,expfactory,True,180,120,60,0.9166666666666666,0.041666666666666664,548.6272727272727,543.9217391304347,475.7931034482759,0.5166666666666667,650.0,471.6666666666667,350.0,500.0,76.96060606060604,-0.07452638844630033,67.57680250783693
2026-07-03_18-19-59-462332,bot,expfactory,True,180,120,60,0.9583333333333334,0.025,606.5304347826087,609.1538461538462,536.75,0.5333333333333333,700.0,493.3333333333333,350.0,500.0,113.19710144927541,-0.05126108514276146,3.469405594405657
2026-07-04_05-31-46-403328,bot,expfactory,True,180,120,60,0.9833333333333333,0.016666666666666666,577.4491525423729,577.4491525423729,522.6,0.5,650.0,523.3333333333334,400.0,500.0,54.1158192090395,0.10987396087660843,23.713581353653126
2026-07-04_11-56-40-570302,bot,expfactory,True,180,120,60,1.0,0.0,572.95,572.95,517.8275862068965,0.5166666666666667,700.0,548.3333333333334,450.0,500.0,24.616666666666674,0.05811220622371994,-12.280075187969828
2026-07-04_12-06-06-019328,bot,expfactory,True,180,120,60,0.95,0.03333333333333333,575.6140350877193,574.6034482758621,534.2727272727273,0.45,600.0,505.0,300.0,300.0,70.61403508771934,0.19965514045389876,-13.229942100909852
2026-07-04_12-15-42-971580,bot,expfactory,True,180,120,60,0.9333333333333333,0.016666666666666666,608.2946428571429,610.1610169491526,541.5,0.5,700.0,516.6666666666666,350.0,500.0,91.62797619047626,0.07843652628753107,21.694357366771214
2026-07-04_12-25-23-314663,bot,expfactory,True,180,120,60,0.8833333333333333,0.016666666666666666,596.8867924528302,599.8220338983051,554.1333333333333,0.5,650.0,538.3333333333334,450.0,600.0,58.55345911949678,-0.12351535988428633,26.238202247190998
2026-07-04_13-26-47-736053,bot,expfactory,True,180,120,60,0.9416666666666667,0.0,584.1946902654868,581.7333333333333,497.06666666666666,0.5,600.0,468.3333333333333,300.0,500.0,115.86135693215346,-0.06692884284020567,28.281155015197555
