sub_id,source,platform,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
s001,human,human,96,48,48,0.875,0.0625,692.047619047619,0.8125,0.041666666666666664,821.6666666666666,129.6190476190476,0.023208510847090566,-96.30666666666673
s002,human,human,96,48,48,0.9791666666666666,0.0,680.5106382978723,0.9791666666666666,0.020833333333333332,797.2553191489362,116.74468085106389,0.07168967792309494,43.086956521739125
s003,human,human,96,48,48,1.0,0.0,578.5416666666666,0.9583333333333334,0.0,667.3260869565217,88.78442028985512,0.08286707226361355,40.01612903225805
s004,human,human,96,48,48,1.0,0.0,720.3541666666666,1.0,0.0,805.5625,85.20833333333337,-0.15232808576949716,
s005,human,human,96,48,48,1.0,0.0,555.3125,1.0,0.0,596.4791666666666,41.16666666666663,-0.03574563720904464,
s006,human,human,96,48,48,0.9583333333333334,0.020833333333333332,704.2391304347826,0.9166666666666666,0.041666666666666664,845.2954545454545,141.05632411067188,0.04140597858630795,112.18217054263573
s007,human,human,96,48,48,0.9166666666666666,0.041666666666666664,967.5227272727273,0.8125,0.10416666666666667,1019.2051282051282,51.682400932400924,0.0635307061805715,3.5789473684210407
s008,human,human,96,48,48,0.9583333333333334,0.020833333333333332,644.6086956521739,0.7916666666666666,0.020833333333333332,757.3421052631579,112.73340961098404,-0.06936715245865559,33.64320987654321
s009,human,human,96,48,48,0.9791666666666666,0.020833333333333332,755.3191489361702,0.9791666666666666,0.020833333333333332,855.5531914893617,100.23404255319144,0.0494369099101237,
s010,human,human,96,48,48,1.0,0.0,599.3958333333334,0.8958333333333334,0.020833333333333332,752.7209302325581,153.32509689922472,-0.025614951835984983,100.22222222222217
s011,human,human,96,48,48,1.0,0.0,558.5625,0.9791666666666666,0.0,722.7234042553191,164.1609042553191,0.11059274613212787,-60.138297872340445
s012,human,human,96,48,48,0.9583333333333334,0.020833333333333332,761.4782608695652,0.9166666666666666,0.041666666666666664,918.5,157.02173913043475,-0.04916195884861763,-150.79069767441865
s013,human,human,96,48,48,1.0,0.0,697.8333333333334,0.9375,0.0,950.1555555555556,252.3222222222222,0.06558200458215158,107.05797101449275
s014,human,human,96,48,48,0.9791666666666666,0.0,648.1063829787234,0.9583333333333334,0.0,791.6521739130435,143.54579093432005,0.1866523368556221,24.35869565217388
s015,human,human,96,48,48,0.9375,0.020833333333333332,668.6222222222223,0.9375,0.0,808.0888888888888,139.46666666666658,0.06539209786703028,-102.84545454545446
s016,human,human,96,48,48,1.0,0.0,613.3333333333334,0.8958333333333334,0.020833333333333332,766.1627906976744,152.829457364341,0.1390336630641322,-110.47777777777776
s017,human,human,96,48,48,0.9791666666666666,0.0,656.5957446808511,0.9583333333333334,0.020833333333333332,880.7826086956521,224.18686401480102,0.12809769332051596,154.3736263736264
s018,human,human,96,48,48,0.9791666666666666,0.0,559.7021276595744,0.9791666666666666,0.020833333333333332,731.1489361702128,171.44680851063833,-0.019377519191777912,255.60869565217388
s019,human,human,96,48,48,0.9791666666666666,0.0,679.1702127659574,0.7291666666666666,0.0,892.6571428571428,213.4869300911854,0.10412255332396038,140.23368606701945
s020,human,human,96,48,48,0.9375,0.020833333333333332,646.2222222222222,0.875,0.020833333333333332,782.9285714285714,136.70634920634927,-0.14185936043441802,7.023809523809518
s021,human,human,96,48,48,0.9166666666666666,0.041666666666666664,929.1818181818181,0.6666666666666666,0.22916666666666666,1160.25,231.06818181818187,-0.05470890743337421,228.7910447761194
s023,human,human,96,48,48,1.0,0.0,620.5625,0.9791666666666666,0.0,685.3404255319149,64.77792553191489,-0.09016961369482952,-26.819148936170222
s025,human,human,96,48,48,1.0,0.0,691.8541666666666,0.9583333333333334,0.020833333333333332,958.1304347826087,266.2762681159421,0.23370160719289815,97.03260869565213
s026,human,human,96,48,48,0.9791666666666666,0.0,592.531914893617,0.9791666666666666,0.0,645.2553191489362,52.723404255319224,-0.06032555605619951,-48.90322580645159
s027,human,human,96,48,48,0.9791666666666666,0.0,600.0851063829788,1.0,0.0,742.2916666666666,142.20656028368785,0.21018933702474232,18.521276595744666
s028,human,human,96,48,48,1.0,0.0,606.8958333333334,1.0,0.0,654.1041666666666,47.20833333333326,0.06615445018808545,
s029,human,human,96,48,48,0.9583333333333334,0.0,661.4565217391304,0.8333333333333334,0.0,783.775,122.3184782608696,0.010560994183917765,92.6882352941177
s030,human,human,96,48,48,1.0,0.0,612.375,1.0,0.0,746.9166666666666,134.54166666666663,0.0567112086498527,
s031,human,human,96,48,48,0.9791666666666666,0.0,688.6382978723404,0.8958333333333334,0.020833333333333332,841.4651162790698,152.82681840672933,0.17168901012104135,-81.42499999999995
s032,human,human,96,48,48,1.0,0.0,565.6458333333334,1.0,0.0,718.6041666666666,152.95833333333326,0.07730293018724649,
s033,human,human,96,48,48,1.0,0.0,919.8125,0.8541666666666666,0.08333333333333333,999.0243902439024,79.21189024390242,0.02266432854351047,-49.36904761904759
s034,human,human,96,48,48,0.9791666666666666,0.0,616.2553191489362,0.8958333333333334,0.020833333333333332,793.0,176.74468085106378,0.15525600464853903,51.63863636363635
s035,human,human,96,48,48,0.9583333333333334,0.0,688.5,0.9791666666666666,0.0,749.7021276595744,61.202127659574444,0.08991757579625316,101.70289855072463
s036,human,human,96,48,48,0.9166666666666666,0.0,595.7045454545455,0.9583333333333334,0.0,658.5,62.795454545454504,-0.15957514437456674,235.91198501872668
s037,human,human,96,48,48,0.8958333333333334,0.0,593.8372093023256,0.7916666666666666,0.0,623.5526315789474,29.71542227662178,0.2642830639578663,6.969135802469168
