sub_id,source,platform,complete,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
2026-07-03_09-22-11-824737,bot,expfactory,True,120,60,60,1.0,0.0,697.0166666666667,0.8833333333333333,0.03333333333333333,819.8867924528302,122.8701257861635,0.25474041995794333,92.89074074074074
2026-07-03_09-32-47-895720,bot,expfactory,True,120,60,60,0.9166666666666666,0.0,650.6181818181818,0.9833333333333333,0.0,674.2033898305085,23.58520801232669,0.11735678188315579,132.55405405405406
2026-07-03_09-39-17-680646,bot,expfactory,True,120,60,60,1.0,0.0,652.1333333333333,0.9666666666666667,0.016666666666666666,756.6724137931035,104.53908045977016,0.2578149898906527,-159.36842105263156
2026-07-03_09-45-31-330791,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,648.0689655172414,0.9333333333333333,0.0,696.5178571428571,48.448891625615715,0.33556413820041414,197.9909090909091
2026-07-03_09-52-08-510933,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,634.1034482758621,0.95,0.0,621.4736842105264,-12.629764065335735,0.21349603218087795,37.38063063063066
2026-07-03_09-58-41-627672,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,658.8793103448276,0.85,0.0,737.2549019607843,78.37559161595675,0.2758518313310265,-2.842857142857156
2026-07-03_10-04-50-635852,bot,expfactory,True,120,60,60,1.0,0.0,675.6666666666666,0.9,0.0,732.1296296296297,56.46296296296305,0.22794779698675302,-55.68571428571431
2026-07-03_10-11-33-510070,bot,expfactory,True,120,60,60,1.0,0.0,632.7333333333333,0.95,0.0,745.8421052631579,113.10877192982457,0.34551720751944554,29.78947368421052
2026-07-03_10-17-58-799507,bot,expfactory,True,120,60,60,1.0,0.0,654.0,0.9833333333333333,0.016666666666666666,679.8474576271186,25.847457627118615,0.4459555113433059,
2026-07-03_10-24-10-713694,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,646.1379310344828,0.8833333333333333,0.03333333333333333,718.9622641509434,72.8243331164606,0.09804163364416897,162.8509433962265
2026-07-03_10-30-38-046513,bot,expfactory,True,120,60,60,1.0,0.0,568.7166666666667,0.9666666666666667,0.03333333333333333,596.3793103448276,27.662643678160862,0.20335341738889218,
2026-07-03_10-36-41-772356,bot,expfactory,True,120,60,60,1.0,0.0,603.4166666666666,0.9833333333333333,0.0,646.271186440678,42.85451977401135,0.2928249920356992,-23.90517241379314
2026-07-03_10-42-36-047050,bot,expfactory,True,120,60,60,0.9833333333333333,0.0,626.3898305084746,0.95,0.016666666666666666,764.8947368421053,138.50490633363074,0.2511488821025657,18.76785714285711
2026-07-03_10-48-37-880663,bot,expfactory,True,120,60,60,0.9166666666666666,0.016666666666666666,707.1818181818181,0.95,0.03333333333333333,727.0350877192982,19.85326953748006,0.2742138545249957,-32.52102803738319
2026-07-03_10-54-33-840676,bot,expfactory,True,120,60,60,0.9,0.016666666666666666,760.4814814814815,0.8666666666666667,0.0,852.75,92.26851851851848,0.18014281027547996,-11.789592760180994
2026-07-03_11-00-35-525825,bot,expfactory,True,120,60,60,0.95,0.016666666666666666,643.421052631579,0.9666666666666667,0.0,662.8448275862069,19.423774954627902,0.26802137792519004,20.41964285714289
2026-07-03_11-07-02-388741,bot,expfactory,True,120,60,60,1.0,0.0,558.6833333333333,0.9166666666666666,0.016666666666666666,567.6,8.916666666666742,0.28447157628294556,-54.772522522522536
2026-07-03_11-14-59-447221,bot,expfactory,True,120,60,60,1.0,0.0,514.75,0.9,0.016666666666666666,590.7962962962963,76.0462962962963,0.5104197575961156,107.64545454545453
2026-07-03_11-37-05-868352,bot,expfactory,True,120,60,60,0.9666666666666667,0.016666666666666666,661.7413793103449,0.9833333333333333,0.0,694.457627118644,32.71624780829916,0.04462908839653741,21.51327433628319
2026-07-03_11-43-37-108096,bot,expfactory,True,120,60,60,1.0,0.0,635.4333333333333,1.0,0.0,683.0166666666667,47.58333333333337,0.5117910764560473,
2026-07-03_11-49-51-131856,bot,expfactory,True,120,60,60,1.0,0.0,618.75,0.95,0.016666666666666666,658.0526315789474,39.3026315789474,0.17925838407110434,306.39823008849555
2026-07-03_11-55-56-218920,bot,expfactory,True,120,60,60,0.9333333333333333,0.0,599.7142857142857,0.9,0.0,672.5370370370371,72.8227513227514,0.24360357592744852,45.00093457943922
2026-07-03_12-02-03-537255,bot,expfactory,True,120,60,60,0.9166666666666666,0.016666666666666666,718.7818181818182,0.9166666666666666,0.016666666666666666,734.2727272727273,15.4909090909091,0.489692310960573,54.46226415094338
