sub_id,source,platform,complete,n_trials,n_congruent,n_incongruent,congruent_accuracy,congruent_omission_rate,congruent_rt,incongruent_accuracy,incongruent_omission_rate,incongruent_rt,stroop_effect,lag1_autocorr,post_error_slowing_ms
2026-06-30_17-15-40-777200,bot,cognitionrun,True,15,9,6,1.0,0.0,602.3333333333334,1.0,0.0,625.3333333333334,23.0,0.1498197270206385,
2026-06-30_17-16-31-154070,bot,cognitionrun,True,15,8,7,1.0,0.0,583.25,1.0,0.0,644.5714285714286,61.321428571428555,0.25883022100683684,
2026-06-30_17-17-16-699393,bot,cognitionrun,True,15,6,9,0.8333333333333334,0.0,649.8,1.0,0.0,717.0,67.20000000000005,-0.4853675707037274,-138.53846153846155
2026-06-30_17-18-01-641386,bot,cognitionrun,True,15,7,8,1.0,0.0,647.0,0.75,0.0,1903.6666666666667,1256.6666666666667,-0.11121345339163285,-323.75
2026-06-30_17-19-00-771098,bot,cognitionrun,True,15,10,5,0.9,0.0,671.0,0.8,0.0,817.0,146.0,-0.3727278761145912,308.33333333333337
2026-06-30_17-19-52-343930,bot,cognitionrun,True,15,9,6,1.0,0.0,624.7777777777778,1.0,0.0,639.3333333333334,14.555555555555543,0.026835966084730777,
2026-06-30_17-22-18-028914,bot,cognitionrun,True,15,10,5,0.9,0.0,656.2222222222222,0.8,0.0,698.25,42.02777777777783,-0.08042908598483223,-19.91666666666663
2026-06-30_17-23-05-145097,bot,cognitionrun,True,15,6,9,1.0,0.0,567.3333333333334,0.8888888888888888,0.0,671.25,103.91666666666663,0.3463020369643861,-103.84615384615381
2026-06-30_17-23-55-404458,bot,cognitionrun,True,15,3,12,0.6666666666666666,0.0,615.5,1.0,0.0,661.9166666666666,46.41666666666663,0.2652229144868083,-128.23076923076928
2026-06-30_17-24-43-222459,bot,cognitionrun,True,15,11,4,0.9090909090909091,0.0,608.8,0.75,0.0,826.6666666666666,217.86666666666667,0.06292574615877118,92.25
2026-06-30_17-25-29-749815,bot,cognitionrun,True,15,3,12,1.0,0.0,606.3333333333334,0.8333333333333334,0.0,641.5,35.16666666666663,-0.1382361089246728,-136.38461538461536
2026-06-30_17-26-15-673659,bot,cognitionrun,True,15,9,6,1.0,0.0,596.7777777777778,1.0,0.0,573.3333333333334,-23.444444444444457,0.21153910627715616,
2026-06-30_17-27-01-937971,bot,cognitionrun,True,15,6,9,0.8333333333333334,0.0,601.6,0.8888888888888888,0.0,651.25,49.64999999999998,0.22114825529455956,84.33333333333337
2026-06-30_17-27-51-069117,bot,cognitionrun,True,15,3,12,1.0,0.0,604.3333333333334,1.0,0.0,642.6666666666666,38.33333333333326,0.07230668168819676,
2026-06-30_17-28-41-073021,bot,cognitionrun,True,15,8,7,1.0,0.0,581.875,1.0,0.0,604.1428571428571,22.26785714285711,-0.007775980214740565,
