sub_id,source,platform,complete,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms
2026-06-30_14-09-05-770755,bot,expfactory,True,180,120,60,0.9333333333333333,0.016666666666666666,564.5625,563.3898305084746,542.59375,0.4666666666666667,550.0,301.6666666666667,150.0,300.0,262.8958333333333,0.04031108272087772,-5.686111111111131
2026-06-30_14-19-07-167484,bot,expfactory,True,180,120,60,0.9583333333333334,0.016666666666666666,574.8782608695652,572.7033898305085,562.5806451612904,0.48333333333333334,550.0,401.6666666666667,300.0,300.0,173.21159420289854,-0.09294321785753006,27.26020618556697
2026-06-30_14-46-11-062011,bot,expfactory,True,180,120,60,0.9666666666666667,0.008333333333333333,563.8103448275862,563.5546218487395,512.7647058823529,0.43333333333333335,600.0,403.3333333333333,100.0,100.0,160.47701149425285,-0.12154760337262577,45.359915100060675
2026-06-30_14-56-11-580386,bot,expfactory,True,180,120,60,0.9416666666666667,0.016666666666666666,558.1327433628319,556.6271186440678,572.1212121212121,0.45,450.0,170.0,50.0,100.0,388.1327433628319,0.011060858166025558,57.09420289855075
2026-06-30_15-06-02-469347,bot,expfactory,True,180,120,60,0.9,0.041666666666666664,556.5462962962963,557.8260869565217,525.2352941176471,0.43333333333333335,600.0,388.3333333333333,0.0,0.0,168.212962962963,-0.04620678869928469,34.49403089887642
2026-06-30_17-22-18-028434,bot,expfactory,True,180,120,60,0.9416666666666667,0.008333333333333333,569.0884955752213,564.2857142857143,512.2727272727273,0.45,550.0,373.3333333333333,200.0,300.0,195.75516224188794,0.008021401301073426,19.971014492753625
2026-06-30_17-31-45-744155,bot,expfactory,True,180,120,60,0.9583333333333334,0.025,559.2,560.5726495726495,512.25,0.4666666666666667,500.0,243.33333333333334,0.0,100.0,315.8666666666667,-0.021841879558946807,5.9238909238908946
2026-06-30_17-40-29-538280,bot,expfactory,True,180,120,60,0.9583333333333334,0.025,570.4521739130435,569.7948717948718,520.2424242424242,0.45,650.0,376.6666666666667,150.0,200.0,193.78550724637677,0.1166434732426063,53.357571214392806
2026-06-30_17-50-04-828262,bot,expfactory,True,180,120,60,0.95,0.008333333333333333,568.1052631578947,571.8571428571429,552.969696969697,0.45,500.0,341.6666666666667,100.0,100.0,226.438596491228,0.057847671303232574,12.838366506520174
2026-06-30_18-10-50-859158,bot,expfactory,True,180,120,60,0.9166666666666666,0.03333333333333333,594.5545454545454,594.6896551724138,540.2727272727273,0.45,550.0,248.33333333333334,50.0,300.0,346.22121212121203,-0.05675176219698069,31.598484848484873
2026-06-30_18-20-19-715109,bot,expfactory,True,180,120,60,0.9416666666666667,0.025,565.0796460176991,562.1794871794872,560.3030303030303,0.45,550.0,221.66666666666666,0.0,150.0,343.4129793510325,-0.1442837218435119,33.11304347826092
2026-06-30_18-29-45-609289,bot,expfactory,True,180,120,60,0.875,0.041666666666666664,562.8190476190476,559.2173913043479,541.25,0.4666666666666667,550.0,350.0,100.0,300.0,212.81904761904764,-0.10691295873056086,2.0261044176706946
2026-06-30_18-39-15-926495,bot,expfactory,True,180,120,60,0.9416666666666667,0.025,558.2212389380531,557.7521367521367,539.6764705882352,0.43333333333333335,600.0,288.3333333333333,0.0,50.0,269.88790560471983,-0.032711521604259615,6.624633431085044
2026-06-30_18-48-48-397031,bot,expfactory,True,180,120,60,0.95,0.025,555.3333333333334,553.982905982906,504.03333333333336,0.5,600.0,450.0,300.0,600.0,105.33333333333337,0.031067734458072045,-23.420595533498727
2026-06-30_18-58-13-292170,bot,expfactory,True,180,120,60,0.8833333333333333,0.03333333333333333,580.4622641509434,581.0258620689655,557.2962962962963,0.55,400.0,153.33333333333334,0.0,300.0,427.12893081761,-0.008136757123029734,31.80604651162787
2026-07-01_08-24-15-540439,bot,expfactory,True,180,120,60,0.9583333333333334,0.03333333333333333,598.1826086956522,599.5,569.8181818181819,0.45,500.0,211.66666666666666,0.0,200.0,386.5159420289856,-0.25586667755654274,27.152524544179528
2026-07-01_08-33-37-717309,bot,expfactory,True,180,120,60,0.925,0.025,577.6936936936937,578.034188034188,534.6764705882352,0.43333333333333335,550.0,311.6666666666667,200.0,200.0,266.02702702702703,-0.08866149776734032,-3.3484848484848726
2026-07-01_08-43-17-235866,bot,expfactory,True,180,120,60,0.925,0.016666666666666666,586.7207207207207,587.3135593220339,501.8709677419355,0.48333333333333334,600.0,385.0,150.0,300.0,201.7207207207207,-0.06144389840512569,48.25226531351939
2026-07-01_10-26-32-631745,bot,expfactory,True,180,120,60,0.95,0.03333333333333333,560.1228070175439,561.9741379310345,525.6774193548387,0.48333333333333334,550.0,243.33333333333334,0.0,150.0,316.7894736842105,0.009153777322955381,28.43178170144472
2026-07-01_10-35-47-845009,bot,expfactory,True,180,120,60,0.925,0.016666666666666666,566.3243243243244,563.9491525423729,526.5,0.4666666666666667,550.0,300.0,0.0,100.0,266.3243243243244,0.03381593175649989,-22.680319680319712
2026-07-01_10-45-15-188774,bot,expfactory,True,180,120,60,0.875,0.041666666666666664,579.7238095238096,577.4869565217391,545.1818181818181,0.45,600.0,411.6666666666667,150.0,200.0,168.05714285714288,0.013492151923203832,36.928571428571445
2026-07-01_10-54-36-223613,bot,expfactory,True,180,120,60,0.925,0.025,562.7117117117117,560.2649572649573,503.59375,0.4666666666666667,600.0,431.6666666666667,250.0,400.0,131.04504504504501,0.10672679617606051,63.18404074702892
2026-07-01_11-03-58-350347,bot,expfactory,True,180,120,60,0.925,0.03333333333333333,583.1891891891892,580.0862068965517,538.2727272727273,0.45,400.0,133.33333333333334,0.0,0.0,449.8558558558558,-0.0892021884234656,39.239068100358395
2026-07-01_11-57-55-517241,bot,expfactory,True,180,120,60,0.9666666666666667,0.0,553.9913793103449,552.4083333333333,542.8787878787879,0.45,400.0,138.33333333333334,0.0,50.0,415.6580459770115,0.017299299101586285,14.061606160616066
