sub_id,source,platform,complete,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms
2026-07-03_09-06-38-504092,bot,expfactory,True,180,120,60,0.95,0.03333333333333333,773.9912280701755,774.6551724137931,651.0,0.5333333333333333,700.0,510.0,300.0,600.0,263.99122807017545,0.011684014779813724,117.59330143540672
2026-07-04_13-36-19-878359,bot,expfactory,True,180,120,60,0.9083333333333333,0.05,661.0550458715596,663.3070175438596,610.40625,0.4666666666666667,550.0,371.6666666666667,250.0,400.0,289.38837920489294,-0.10256446519419915,16.91666666666663
2026-07-04_13-45-56-313505,bot,expfactory,True,180,120,60,0.9083333333333333,0.08333333333333333,739.7889908256881,743.0,635.6,0.5,550.0,431.6666666666667,350.0,500.0,308.1223241590214,0.06586787107858286,80.97727272727275
2026-07-04_13-55-30-355430,bot,expfactory,True,180,120,60,0.925,0.041666666666666664,575.6036036036036,575.0869565217391,484.2068965517241,0.5166666666666667,350.0,238.33333333333334,100.0,300.0,337.2702702702702,-0.038346393972252216,91.56730769230774
2026-07-04_14-04-34-202602,bot,expfactory,True,180,120,60,0.9416666666666667,0.058333333333333334,814.1946902654868,814.1946902654868,710.5172413793103,0.5166666666666667,750.0,616.6666666666666,450.0,600.0,197.52802359882014,0.014828123687209338,13.178030303030255
2026-07-04_14-14-10-343786,bot,expfactory,True,180,120,60,0.8833333333333333,0.08333333333333333,712.9811320754717,709.3181818181819,563.4375,0.4666666666666667,600.0,363.3333333333333,150.0,400.0,349.6477987421384,-0.03473527371017865,94.63662790697674
2026-07-04_14-23-54-467497,bot,expfactory,True,180,120,60,0.9833333333333333,0.008333333333333333,762.9067796610169,764.9243697478992,617.1333333333333,0.5,550.0,430.0,300.0,400.0,332.9067796610169,-0.17663919093733696,124.40869565217383
2026-07-04_14-33-27-675389,bot,expfactory,True,180,120,60,0.925,0.03333333333333333,719.6306306306307,722.6465517241379,600.6451612903226,0.48333333333333334,550.0,468.3333333333333,300.0,400.0,251.29729729729735,-0.10338635604488174,84.83637873754151
2026-07-04_14-42-58-603010,bot,expfactory,True,180,120,60,1.0,0.0,603.6333333333333,603.6333333333333,492.7741935483871,0.48333333333333334,500.0,296.6666666666667,100.0,400.0,306.96666666666664,-0.04323318201817922,86.73879551820721
2026-07-04_14-52-34-821716,bot,expfactory,True,180,120,60,0.9166666666666666,0.016666666666666666,683.8090909090909,683.728813559322,550.5,0.5,600.0,396.6666666666667,250.0,400.0,287.14242424242417,0.11914265078723293,72.60931899641571
