sub_id,source,platform,complete,n_trials,n_go,n_stop,go_accuracy,go_omission_rate,go_rt,go_rt_all_responses,mean_stop_failure_RT,stop_accuracy,max_SSD,mean_SSD,min_SSD,final_SSD,ssrt,lag1_autocorr,post_error_slowing_ms
2026-07-03_09-06-38-504871,bot,stopit,True,288,216,72,0.9537037037037037,0.032407407407407406,622.9271844660194,621.7081339712919,491.22857142857146,0.5138888888888888,500.0,331.94444444444446,200.0,350.0,290.98274002157495,-0.0925571493170535,-14.037619699042466
2026-07-04_13-36-19-879399,bot,stopit,True,288,216,72,0.9490740740740741,0.0,607.2780487804878,607.8425925925926,542.5454545454545,0.5416666666666666,500.0,369.44444444444446,200.0,450.0,237.83360433604332,0.09710021862620927,84.08837209302328
2026-07-04_13-44-37-962939,bot,stopit,True,288,216,72,0.9490740740740741,0.0,556.5024390243902,559.5416666666666,488.2,0.5138888888888888,450.0,293.05555555555554,150.0,250.0,263.4468834688347,0.017652497350003092,40.57134831460667
2026-07-04_13-52-35-663607,bot,stopit,True,288,216,72,0.9675925925925926,0.009259259259259259,704.6746411483253,704.9345794392524,589.8181818181819,0.5416666666666666,600.0,463.8888888888889,200.0,450.0,240.78575225943644,0.016092436503142526,66.6851411084665
2026-07-04_14-01-17-160339,bot,stopit,True,288,216,72,0.9814814814814815,0.004629629629629629,591.3632075471698,591.5441860465116,545.9428571428572,0.5138888888888888,350.0,240.27777777777777,150.0,250.0,351.0854297693921,0.099837417054464,24.820787292817727
2026-07-04_14-09-28-420454,bot,stopit,True,288,216,72,0.9212962962962963,0.041666666666666664,724.321608040201,723.2270531400966,636.2058823529412,0.5277777777777778,550.0,369.44444444444446,150.0,350.0,354.87716359575654,-0.0013985284493147289,2.4560975609756497
2026-07-04_14-18-14-721314,bot,stopit,True,288,216,72,0.9120370370370371,0.004629629629629629,607.1370558375635,606.4790697674418,546.9117647058823,0.5277777777777778,500.0,351.3888888888889,200.0,350.0,255.74816694867457,0.1065366762332128,57.6623015873015
2026-07-04_14-26-28-772316,bot,stopit,True,288,216,72,0.9212962962962963,0.0,699.5678391959799,697.7546296296297,558.5,0.5277777777777778,500.0,387.5,200.0,450.0,312.0678391959799,0.08203782999787457,57.41178052716509
2026-07-04_14-34-59-473274,bot,stopit,True,288,216,72,0.9583333333333334,0.013888888888888888,641.1207729468599,641.8262910798122,557.2285714285714,0.5138888888888888,450.0,351.3888888888889,200.0,350.0,289.731884057971,0.09371101100900027,59.9615259740259
2026-07-04_14-43-15-190857,bot,stopit,True,288,216,72,0.9490740740740741,0.009259259259259259,775.0195121951219,774.5327102803739,670.7878787878788,0.5416666666666666,600.0,469.44444444444446,200.0,550.0,305.5750677506775,-0.06780532764639685,58.27252453166818
2026-07-04_14-52-11-813556,bot,stopit,True,288,216,72,0.9074074074074074,0.009259259259259259,13015.714285714286,16337.359813084113,464.0,0.5,450.0,298.6111111111111,150.0,250.0,12717.103174603175,-0.013490733227189425,1403.5171834625326
2026-07-04_16-20-04-400786,bot,stopit,True,288,216,72,0.9675925925925926,0.004629629629629629,567.5358851674641,568.2511627906977,493.0571428571429,0.5138888888888888,500.0,305.55555555555554,150.0,350.0,261.9803296119086,0.06616788212260329,0.10476190476197189
2026-07-04_16-28-05-005553,bot,stopit,True,288,216,72,0.9768518518518519,0.004629629629629629,606.957345971564,606.8790697674418,533.4285714285714,0.5138888888888888,400.0,277.77777777777777,200.0,250.0,329.1795681937862,0.18491119262134675,67.2503415300547
2026-07-04_16-36-11-504607,bot,stopit,True,288,216,72,0.9629629629629629,0.013888888888888888,617.9567307692307,618.755868544601,572.5428571428571,0.5138888888888888,400.0,327.77777777777777,200.0,350.0,290.17895299145295,0.09378389840697242,16.767045454545496
2026-07-04_16-44-27-115106,bot,stopit,True,288,216,72,0.9398148148148148,0.027777777777777776,704.2610837438424,705.8523809523809,623.1212121212121,0.5416666666666666,600.0,465.27777777777777,200.0,450.0,238.98330596606462,-0.0423338101131605,-48.4727272727273
