sub_id,date_time,session,8x8_grid_asymmetric_accuracy,8x8_grid_asymmetric_rt,8x8_grid_symmetric_accuracy,8x8_grid_symmetric_rt,first_4x4_grid_movement_time,first_4x4_grid_response_time,mean_4x4_grid_accuracy_entirely_correct,mean_4x4_grid_accuracy_irrespective_of_order,mean_4x4_grid_accuracy_respective_of_order,mean_4x4_grid_movement_time,mean_4x4_grid_response_time,mean_number_of_responses,mean_time_remaining_after_last_response,4x4_grid_omission_rate,8x8_grid_omission_rate,proportion_feedback,attention_check_mean_accuracy
s832001,07/18/2026,1,0.0,,1.0,1297.4444444444443,2012.590909090909,2910.5555555555557,0.875,0.3541666666666667,0.3541666666666667,1981.905401911978,1422.8148148148148,3.888888888888889,4943.958333333333,0.625,0.5,1.0,0.3333333333333333
s832002,07/18/2026,1,0.0,,1.0,818.5555555555555,1796.5652173913043,2827.785714285714,0.5384615384615384,0.4895833333333333,0.46875,1605.2451243448754,1330.470238095238,3.9285714285714284,3961.625,0.4166666666666667,0.5,1.0,0.0
s832003,07/18/2026,1,0.0,,1.0,1073.9444444444443,1126.1666666666667,2734.5789473684213,0.2631578947368421,0.53125,0.5104166666666666,847.8744692602309,1353.2894736842106,4.0,2714.5833333333335,0.20833333333333334,0.375,1.0,0.0
s832004,07/18/2026,1,0.0,,1.0,939.2258064516129,2132.478260869565,2890.769230769231,0.5454545454545454,0.3645833333333333,0.3541666666666667,1950.728941853341,1640.4743589743591,3.6923076923076925,4171.916666666667,0.4583333333333333,0.5,1.0,0.0
s832005,07/18/2026,1,0.0,,1.0,1168.5945945945946,1283.695652173913,2974.2631578947367,0.16666666666666666,0.5625,0.5208333333333334,861.50940953726,1428.4122807017543,3.9473684210526314,2560.2916666666665,0.20833333333333334,0.75,1.0,0.0
s832006,07/19/2026,1,0.0,,1.0,1090.0,2917.7727272727275,3060.1111111111113,0.5555555555555556,0.3125,0.3020833333333333,2791.108927083018,1408.638888888889,4.0,4887.041666666667,0.625,0.875,1.0,0.0
s832007,07/19/2026,1,0.0,,1.0,1161.2,1611.1739130434783,2852.5333333333333,0.7333333333333333,0.5625,0.5625,1234.7441586085777,1301.0333333333333,4.0,3747.4166666666665,0.375,0.5,1.0,0.3333333333333333
s832008,07/19/2026,1,0.0,,1.0,828.925925925926,2022.9,2550.6,0.0,0.21875,0.20833333333333334,1920.9802295762802,1295.9916666666666,3.9,4902.958333333333,0.5833333333333334,0.25,1.0,0.0
s832009,07/19/2026,1,0.0,,1.0,832.9347826086956,846.2916666666666,2680.0,0.4166666666666667,0.84375,0.8229166666666666,250.80241124411145,1300.4270833333333,4.0,1798.2916666666667,0.0,0.125,1.0,0.0
s832010,07/19/2026,1,0.0,,1.0,1049.2173913043478,1743.4782608695652,2804.7,0.2,0.2708333333333333,0.25,1843.047430504002,1349.45,4.0,4750.916666666667,0.5833333333333334,0.75,1.0,0.0
s832011,07/19/2026,1,0.0,,1.0,1121.3333333333333,1631.7391304347825,2671.75,0.5,0.5104166666666666,0.5104166666666666,1294.4110915114682,1318.109375,3.875,3615.0,0.3333333333333333,0.125,1.0,0.0
s832012,07/19/2026,1,0.0,,1.0,813.6486486486486,1519.391304347826,2674.3571428571427,0.15384615384615385,0.3854166666666667,0.375,1264.5447033686398,1396.9940476190475,3.9285714285714284,3826.875,0.4166666666666667,0.25,1.0,0.3333333333333333
s832013,07/19/2026,1,0.0,,1.0,1092.4444444444443,2399.3478260869565,3239.8333333333335,0.4444444444444444,0.3541666666666667,0.3541666666666667,1959.8121196436414,2169.0208333333335,3.4166666666666665,4339.958333333333,0.5,0.125,1.0,0.0
s832014,07/19/2026,1,0.0,,1.0,732.4814814814815,2051.6666666666665,3001.5714285714284,0.0,0.2916666666666667,0.2916666666666667,1983.0950972839298,1669.8214285714287,3.7857142857142856,3974.375,0.4166666666666667,0.375,1.0,0.0
s832015,07/19/2026,1,0.0,,1.0,1000.4242424242424,1574.0,2824.529411764706,0.5882352941176471,0.625,0.625,1178.1954395880814,1313.4411764705883,4.0,3278.5833333333335,0.2916666666666667,0.5,1.0,0.0
s832016,07/19/2026,1,0.0,,1.0,932.9285714285714,1769.1666666666667,2413.705882352941,0.5625,0.625,0.59375,1485.9886106412953,1267.313725490196,3.9411764705882355,3463.2083333333335,0.2916666666666667,0.625,1.0,0.0
s832017,07/19/2026,1,0.0,,1.0,917.8,1784.3157894736842,2873.181818181818,0.36363636363636365,0.3541666666666667,0.3541666666666667,1576.2415288620275,1318.9772727272727,4.0,4581.875,0.5416666666666666,0.875,1.0,0.0
s832018,07/19/2026,1,0.0,,1.0,1023.047619047619,1917.842105263158,2586.3333333333335,0.5,0.3020833333333333,0.3020833333333333,1952.246438311747,1297.6574074074074,3.888888888888889,5141.75,0.625,0.625,1.0,0.0
s832019,07/19/2026,1,0.0,,1.0,894.2682926829268,1863.0416666666667,2736.0666666666666,0.7333333333333333,0.5833333333333334,0.5833333333333334,1487.1623505128655,1299.3666666666666,4.0,3751.5833333333335,0.375,0.125,1.0,0.0
s832020,07/19/2026,1,0.0,,1.0,1067.6470588235295,1531.090909090909,2773.8333333333335,0.16666666666666666,0.2916666666666667,0.2604166666666667,1336.7717240147422,1312.0416666666667,4.0,4375.916666666667,0.5,0.75,1.0,0.0
