label	url	human_data
ax_cpt_rdoc	https://deploy.expfactory.org/preview/1/	ax_cpt
cued_task_switching_rdoc	https://deploy.expfactory.org/preview/2/	cued_task_switching
flanker_rdoc	https://deploy.expfactory.org/preview/3/	flanker
go_nogo_rdoc	https://deploy.expfactory.org/preview/4/	go_nogo
n_back_rdoc	https://deploy.expfactory.org/preview/5/	n_back
spatial_cueing_rdoc	https://deploy.expfactory.org/preview/7/	spatial_cueing
spatial_task_switching_rdoc	https://deploy.expfactory.org/preview/8/	spatial_task_switching
stop_signal_rdoc	https://deploy.expfactory.org/preview/9/	stop_signal
stroop_rdoc	https://deploy.expfactory.org/preview/10/	stroop
visual_search_rdoc	https://deploy.expfactory.org/preview/28/	visual_search
operation_span_rdoc	https://deploy.expfactory.org/preview/49/	operation_span
simple_span_rdoc	https://deploy.expfactory.org/preview/50/	simple_span
