"block_i","trial_i","stim","signal","SSD","response","rt","correct","focus","Fullscreen","time_elapsed","window_resolution"
"0","1","right","no","200","rightarrow","615","true","focus","yes","23650","1280 x 800"
"0","2","left","yes","200","leftarrow","440","false","focus","yes","25597","1280 x 800"
"0","3","right","no","150","rightarrow","429","true","focus","yes","27532","1280 x 800"
"0","4","left","no","150","leftarrow","634","true","focus","yes","29672","1280 x 800"
"0","5","left","no","150","leftarrow","500","true","focus","yes","31679","1280 x 800"
"0","6","right","no","150","rightarrow","411","true","focus","yes","33595","1280 x 800"
"0","7","left","no","150","leftarrow","869","true","focus","yes","35967","1280 x 800"
"0","8","right","yes","150","undefined","NaN","true","focus","yes","38725","1280 x 800"
"0","9","left","no","200","leftarrow","495","true","focus","yes","40725","1280 x 800"
"0","10","left","no","200","leftarrow","519","true","focus","yes","42749","1280 x 800"
"0","11","right","no","200","rightarrow","425","true","focus","yes","44681","1280 x 800"
"0","12","left","no","200","undefined","NaN","false","focus","yes","47439","1280 x 800"
"0","13","right","no","200","rightarrow","469","true","focus","yes","49412","1280 x 800"
"0","14","right","no","200","rightarrow","380","true","focus","yes","51299","1280 x 800"
"0","15","left","yes","200","undefined","NaN","true","focus","yes","54057","1280 x 800"
"0","16","right","yes","250","rightarrow","318","false","focus","yes","55880","1280 x 800"
"0","17","right","no","200","rightarrow","504","true","focus","yes","57890","1280 x 800"
"0","18","right","no","200","rightarrow","390","true","focus","yes","59785","1280 x 800"
"0","19","left","no","200","leftarrow","563","true","focus","yes","61856","1280 x 800"
"0","20","right","no","200","rightarrow","531","true","focus","yes","63893","1280 x 800"
"0","21","left","no","200","leftarrow","506","true","focus","yes","65907","1280 x 800"
"0","22","right","yes","200","undefined","NaN","true","focus","yes","68665","1280 x 800"
"0","23","left","no","250","leftarrow","404","true","focus","yes","70576","1280 x 800"
"0","24","left","yes","250","leftarrow","272","false","focus","yes","72354","1280 x 800"
"0","25","left","yes","200","undefined","NaN","true","focus","yes","75113","1280 x 800"
"0","26","left","no","250","leftarrow","719","true","focus","yes","77340","1280 x 800"
"0","27","left","no","250","leftarrow","500","true","focus","yes","79343","1280 x 800"
"0","28","right","no","250","rightarrow","617","true","focus","yes","81464","1280 x 800"
"0","29","right","yes","250","undefined","NaN","true","focus","yes","84222","1280 x 800"
"0","30","right","no","300","rightarrow","554","true","focus","yes","86283","1280 x 800"
"0","31","right","no","300","rightarrow","443","true","focus","yes","88232","1280 x 800"
"0","32","left","no","300","leftarrow","421","true","focus","yes","90156","1280 x 800"
"1","1","right","no","300","rightarrow","516","true","focus","yes","96705","1280 x 800"
"1","2","right","yes","300","undefined","NaN","true","focus","yes","98712","1280 x 800"
"1","3","left","no","350","leftarrow","559","true","focus","yes","100024","1280 x 800"
"1","4","left","yes","350","undefined","NaN","true","focus","yes","102027","1280 x 800"
"1","5","right","no","400","rightarrow","503","true","focus","yes","103287","1280 x 800"
"1","6","left","no","400","leftarrow","354","true","focus","yes","104395","1280 x 800"
"1","7","right","no","400","rightarrow","546","true","focus","yes","105694","1280 x 800"
"1","8","left","no","400","leftarrow","542","true","focus","yes","106989","1280 x 800"
"1","9","right","no","400","rightarrow","490","true","focus","yes","108231","1280 x 800"
"1","10","left","no","400","leftarrow","613","true","focus","yes","109597","1280 x 800"
"1","11","right","no","400","rightarrow","467","true","focus","yes","110815","1280 x 800"
"1","12","left","yes","400","undefined","NaN","true","focus","yes","112818","1280 x 800"
"1","13","right","yes","450","rightarrow","430","false","focus","yes","114001","1280 x 800"
"1","14","right","no","400","leftarrow","594","false","focus","yes","115349","1280 x 800"
"1","15","left","no","400","leftarrow","505","true","focus","yes","116608","1280 x 800"
"1","16","left","no","400","leftarrow","492","true","focus","yes","117854","1280 x 800"
"1","17","left","yes","400","leftarrow","432","false","focus","yes","119039","1280 x 800"
"1","18","left","no","350","leftarrow","883","true","focus","yes","120676","1280 x 800"
"1","19","left","no","350","leftarrow","483","true","focus","yes","121912","1280 x 800"
"1","20","right","no","350","rightarrow","431","true","focus","yes","123097","1280 x 800"
"1","21","left","no","350","leftarrow","603","true","focus","yes","124455","1280 x 800"
"1","22","right","no","350","rightarrow","691","true","focus","yes","125898","1280 x 800"
"1","23","right","yes","350","undefined","NaN","true","focus","yes","127903","1280 x 800"
"1","24","right","no","400","undefined","NaN","false","focus","yes","129909","1280 x 800"
"1","25","right","yes","400","undefined","NaN","true","focus","yes","131917","1280 x 800"
"1","26","right","no","450","rightarrow","449","true","focus","yes","133118","1280 x 800"
"1","27","right","no","450","rightarrow","408","true","focus","yes","134279","1280 x 800"
"1","28","left","no","450","leftarrow","350","true","focus","yes","135380","1280 x 800"
