"block_i","trial_i","stim","signal","SSD","response","rt","correct","focus","Fullscreen","time_elapsed","window_resolution"
"0","1","right","no","200","rightarrow","507","true","focus","yes","32622","1280 x 800"
"0","2","left","no","200","leftarrow","504","true","focus","yes","34629","1280 x 800"
"0","3","left","no","200","leftarrow","433","true","focus","yes","36566","1280 x 800"
"0","4","left","no","200","leftarrow","492","true","focus","yes","38563","1280 x 800"
"0","5","right","no","200","rightarrow","732","true","focus","yes","40800","1280 x 800"
"0","6","right","no","200","rightarrow","492","true","focus","yes","42797","1280 x 800"
"0","7","right","yes","200","undefined","NaN","true","focus","yes","45552","1280 x 800"
"0","8","left","yes","250","leftarrow","378","false","focus","yes","47435","1280 x 800"
"0","9","right","no","200","rightarrow","498","true","focus","yes","49437","1280 x 800"
"0","10","left","no","200","leftarrow","459","true","focus","yes","51400","1280 x 800"
"0","11","right","no","200","rightarrow","417","true","focus","yes","53320","1280 x 800"
"0","12","left","yes","200","undefined","NaN","true","focus","yes","56075","1280 x 800"
"0","13","left","no","250","leftarrow","614","true","focus","yes","58194","1280 x 800"
"0","14","right","no","250","rightarrow","462","true","focus","yes","60161","1280 x 800"
"0","15","left","no","250","leftarrow","514","true","focus","yes","62181","1280 x 800"
"0","16","right","yes","250","rightarrow","413","false","focus","yes","64098","1280 x 800"
"0","17","right","no","200","rightarrow","499","true","focus","yes","66103","1280 x 800"
"0","18","right","no","200","rightarrow","743","true","focus","yes","68350","1280 x 800"
"0","19","right","yes","200","undefined","NaN","true","focus","yes","71105","1280 x 800"
"0","20","right","no","250","rightarrow","840","true","focus","yes","73449","1280 x 800"
"0","21","left","no","250","leftarrow","712","true","focus","yes","75665","1280 x 800"
"0","22","left","yes","250","undefined","NaN","true","focus","yes","78420","1280 x 800"
"0","23","left","no","300","leftarrow","478","true","focus","yes","80402","1280 x 800"
"0","24","left","no","300","leftarrow","378","true","focus","yes","82283","1280 x 800"
"0","25","right","yes","300","undefined","NaN","true","focus","yes","85037","1280 x 800"
"0","26","left","no","350","leftarrow","919","true","focus","yes","87461","1280 x 800"
"0","27","right","no","350","rightarrow","567","true","focus","yes","89531","1280 x 800"
"0","28","right","no","350","rightarrow","494","true","focus","yes","91530","1280 x 800"
"0","29","left","no","350","leftarrow","658","true","focus","yes","93694","1280 x 800"
"0","30","left","no","350","leftarrow","665","true","focus","yes","95862","1280 x 800"
"0","31","left","yes","350","leftarrow","409","false","focus","yes","97775","1280 x 800"
"0","32","right","no","300","rightarrow","669","true","focus","yes","99948","1280 x 800"
"1","1","left","no","300","leftarrow","570","true","focus","yes","106557","1280 x 800"
"1","2","right","no","300","rightarrow","525","true","focus","yes","107833","1280 x 800"
"1","3","right","yes","300","rightarrow","422","false","focus","yes","109007","1280 x 800"
"1","4","right","no","250","rightarrow","570","true","focus","yes","110331","1280 x 800"
"1","5","left","yes","250","leftarrow","522","false","focus","yes","111605","1280 x 800"
"1","6","right","no","200","rightarrow","666","true","focus","yes","113023","1280 x 800"
"1","7","left","no","200","leftarrow","538","true","focus","yes","114314","1280 x 800"
"1","8","left","no","200","leftarrow","467","true","focus","yes","115534","1280 x 800"
"1","9","right","yes","200","rightarrow","414","false","focus","yes","116701","1280 x 800"
"1","10","right","no","150","rightarrow","554","true","focus","yes","118008","1280 x 800"
"1","11","left","no","150","leftarrow","485","true","focus","yes","119247","1280 x 800"
"1","12","right","no","150","rightarrow","547","true","focus","yes","120546","1280 x 800"
"1","13","left","no","150","leftarrow","450","true","focus","yes","121749","1280 x 800"
"1","14","left","no","150","leftarrow","531","true","focus","yes","123031","1280 x 800"
"1","15","right","no","150","rightarrow","595","true","focus","yes","124380","1280 x 800"
"1","16","left","yes","150","undefined","NaN","true","focus","yes","126382","1280 x 800"
"1","17","left","no","200","leftarrow","772","true","focus","yes","127906","1280 x 800"
"1","18","right","yes","200","rightarrow","532","false","focus","yes","129191","1280 x 800"
"1","19","right","no","150","leftarrow","615","false","focus","yes","130559","1280 x 800"
"1","20","left","yes","150","undefined","NaN","true","focus","yes","132562","1280 x 800"
"1","21","right","no","200","undefined","NaN","false","focus","yes","134566","1280 x 800"
"1","22","left","no","200","leftarrow","653","true","focus","yes","135971","1280 x 800"
"1","23","right","no","200","rightarrow","447","true","focus","yes","137169","1280 x 800"
"1","24","left","no","200","leftarrow","689","true","focus","yes","138612","1280 x 800"
"1","25","left","yes","200","leftarrow","324","false","focus","yes","139689","1280 x 800"
"1","26","left","no","150","leftarrow","736","true","focus","yes","141177","1280 x 800"
"1","27","right","yes","150","rightarrow","419","false","focus","yes","142349","1280 x 800"
