"success","trial_type","trial_index","time_elapsed","internal_node_id","group_index","rt","stimulus","response","trial_id","trial_duration","view_history","page_index","exp_stage","block_num","stimulus_duration","condition","stim_color","stim_word","correct_response","choices","correct_trial","ITIParams","attention_check_question","timing_post_trial"
"true","fullscreen","0","8403","0.0-0.0","1","","","","","","","","","","","","","","","","","","",""
"","html-keyboard-response","1","15639","0.0-1.0-0.0","","7233","
  <p class=""center-block-text"">
    Welcome! This experiment will take around 7 minutes.
  </p>
  <p class=""center-block-text"">
    To avoid technical issues, please keep the experiment tab (on Chrome or Firefox) active and in fullscreen mode for the whole duration of each task.
  </p>
  <p class=""center-block-text""> Press <i>enter</i> to begin.</p>
","enter","instruction_feedback","30000","","","","","","","","","","","","","",""
"","instructions","2","22892","0.0-1.0-1.0","","7252","<div class='centerbox'>
    <p class=""block-text"">Place your <b>index finger</b> on the <b>comma key (,)</b>, your <b>middle finger</b> on the <b>period key (.)</b>, and your <b>ring finger</b> on the <b>forward slash key (/)</b></p>
    <p class='block-text'>During this task, on each trial you will be presented with a single word on the screen. This word will be <b>'RED'</b>, <b>'BLUE'</b>, or <b>'GREEN'</b>.</p>
    <p class='block-text'>Each word will appear in colored ink. The color of the word may not match the word itself. For example, you might see the word 'RED' in green ink, like this: <span style='color:#70FF70'>RED</span>.</p>
    <p class='block-text'>Your task is to identify the <b>color of the ink in which the word is displayed</b>, not the word itself. So, if you see the word <b>'RED'</b> in green ink, you should press the key corresponding to <b>green</b>.</p>
    <p class='block-text'>Press your <b>index finger</b> if the color is <span style='color:#FF7070'>red</span>.</p>
    <p class='block-text'>Press your <b>middle finger</b> if the color is <span style='color:#7070FF'>blue</span>.</p>
    <p class='block-text'>Press your <b>ring finger</b> if the color is <span style='color:#70FF70'>green</span>.</p>
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":7252}]","0","","","","","","","","","","","",""
"","instructions","3","29691","0.0-1.0-2.0","","6799","<div class='centerbox'>
    <p class='block-text'>We'll start with a practice round. During practice, you will receive feedback and a reminder of the rules. These will be taken out for the test, so make sure you understand the instructions before moving on.</p>
    <p class = block-text>Try to respond as quickly and accurately as possible.</p> 
  </div>","","instructions","","[{""page_index"":0,""viewing_time"":6799}]","1","","","","","","","","","","","",""
"","html-keyboard-response","4","34906","0.0-2.0-0.0","","5215","<div class=""bigbox""><div class=""picture_box""><p class=""block-text""><div class = centerbox><p class = center-block-text>Press <i>enter</i> to begin practice.</p></div></p></div></div>","enter","practice_feedback","30000","","","practice","0","","","","","","","","","",""
"","html-keyboard-response","5","35409","0.0-2.0-1.0","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","6","36910","0.0-2.0-2.0","","null","<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>","null","practice_trial","1500","","","practice","0","1000","congruent","#70FF70","green","/","["","",""."",""/""]","0","","",""
"","html-keyboard-response","7","37413","0.0-2.0-3.0","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","8","37553","0.0-2.0-4.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","138.1083101173583","","","practice","0","138.1083101173583","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","9","38055","0.0-2.0-5.0","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","10","39556","0.0-2.0-6.0","","null","<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">red</div></div>","null","practice_trial","1500","","","practice","0","1000","incongruent","#70FF70","red","/","["","",""."",""/""]","0","","",""
"","html-keyboard-response","11","40057","0.0-2.0-7.0","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","12","40462","0.0-2.0-8.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","403.18070382013474","","","practice","0","403.18070382013474","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","13","40962","0.0-2.0-9.0","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","14","42463","0.0-2.0-10.0","","null","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>","null","practice_trial","1500","","","practice","0","1000","congruent","#FF7070","red",",","["","",""."",""/""]","0","","",""
"","html-keyboard-response","15","42964","0.0-2.0-11.0","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","16","43273","0.0-2.0-12.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","308.3399277058207","","","practice","0","308.3399277058207","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","17","43775","0.0-2.0-13.0","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","18","45276","0.0-2.0-14.0","","null","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>","null","practice_trial","1500","","","practice","0","1000","incongruent","#FF7070","blue",",","["","",""."",""/""]","0","","",""
"","html-keyboard-response","19","45779","0.0-2.0-15.0","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","0","500","","","","","","","","",""
"","html-keyboard-response","20","45795","0.0-2.0-16.0","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","15.97599500251531","","","practice","0","15.97599500251531","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","21","74301","0.0-2.1-0.1","","28505","<div class=""bigbox""><div class=""picture_box""><p class=""block-text""><div class = centerbox><p class = block-text>Please take this time to read your feedback! This screen will advance automatically in 30 seconds.</p>
          <p class=""block-text"">Your accuracy is low. Remember:</p>
          
  <ul class=""list-text"">
    <li>
    <span class=""large"" style=""color:#FF7070;"">WORD</span>: comma key (,)
  </span>
  </li>
   <li>
    <span class=""large"" style=""color:#7070FF;"">WORD</span>: period key (.)
  </span>
  </li>
    <li>
    <span class=""large"" style=""color:#70FF70;"">WORD</span>: forward slash key (/)
  </span>
  </li>
  </ul>
          <p class=""block-text"">You have not been responding to some trials. Please respond on every trial that requires a response.</p><p class=""block-text"">We are now going to repeat the practice round.</p><p class=""block-text"">Press <i>enter</i> to begin.</p></div></p></div></div>","enter","practice_feedback","30000","","","practice","1","","","","","","","","","",""
"","html-keyboard-response","22","74802","0.0-2.1-1.1","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","23","76303","0.0-2.1-2.1","","563","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">green</div></div>",",","practice_trial","1500","","","practice","1","1000","incongruent","#FF7070","green",",","["","",""."",""/""]","1","","",""
"","html-keyboard-response","24","76805","0.0-2.1-3.1","","null","<div class=center-box><div class=center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","25","76856","0.0-2.1-4.1","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","49.124936468700895","","","practice","1","49.124936468700895","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","26","77358","0.0-2.1-5.1","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","27","78858","0.0-2.1-6.1","","null","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">red</div></div>","null","practice_trial","1500","","","practice","1","1000","congruent","#FF7070","red",",","["","",""."",""/""]","0","","",""
"","html-keyboard-response","28","79360","0.0-2.1-7.1","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","29","79412","0.0-2.1-8.1","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","51.10244312638176","","","practice","1","51.10244312638176","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","30","79914","0.0-2.1-9.1","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","31","81414","0.0-2.1-10.1","","601","<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">blue</div></div>",".","practice_trial","1500","","","practice","1","1000","congruent","#7070FF","blue",".","["","",""."",""/""]","1","","",""
"","html-keyboard-response","32","81916","0.0-2.1-11.1","","null","<div class=center-box><div class=center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","33","82385","0.0-2.1-12.1","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","468.4990298476426","","","practice","1","468.4990298476426","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","34","82887","0.0-2.1-13.1","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","35","84389","0.0-2.1-14.1","","null","<div class = centerbox><div class = stroop-stim style = ""color:#7070FF"">red</div></div>","null","practice_trial","1500","","","practice","1","1000","incongruent","#7070FF","red",".","["","",""."",""/""]","0","","",""
"","html-keyboard-response","36","84890","0.0-2.1-15.1","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","1","500","","","","","","","","",""
"","html-keyboard-response","37","85312","0.0-2.1-16.1","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","420.2788909308288","","","practice","1","420.2788909308288","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","38","87332","0.0-2.2-0.2","","2020","<div class=""bigbox""><div class=""picture_box""><p class=""block-text""><div class = centerbox><p class = block-text>Please take this time to read your feedback! This screen will advance automatically in 30 seconds.</p>
          <p class=""block-text"">Your accuracy is low. Remember:</p>
          
  <ul class=""list-text"">
    <li>
    <span class=""large"" style=""color:#FF7070;"">WORD</span>: comma key (,)
  </span>
  </li>
   <li>
    <span class=""large"" style=""color:#7070FF;"">WORD</span>: period key (.)
  </span>
  </li>
    <li>
    <span class=""large"" style=""color:#70FF70;"">WORD</span>: forward slash key (/)
  </span>
  </li>
  </ul>
          <p class=""block-text"">You have not been responding to some trials. Please respond on every trial that requires a response.</p><p class=""block-text"">We are now going to repeat the practice round.</p><p class=""block-text"">Press <i>enter</i> to begin.</p></div></p></div></div>","enter","practice_feedback","30000","","","practice","2","","","","","","","","","",""
"","html-keyboard-response","39","87834","0.0-2.2-1.2","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","2","500","","","","","","","","",""
"","html-keyboard-response","40","89336","0.0-2.2-2.2","","461","<div class = centerbox><div class = stroop-stim style = ""color:#70FF70"">green</div></div>","/","practice_trial","1500","","","practice","2","1000","congruent","#70FF70","green","/","["","",""."",""/""]","1","","",""
"","html-keyboard-response","41","89838","0.0-2.2-3.2","","null","<div class=center-box><div class=center-text><font size =20>Correct!</font></div></div>","null","practice_feedback","500","","","practice","2","500","","","","","","","","",""
"","html-keyboard-response","42","90035","0.0-2.2-4.2","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","196.91303316452854","","","practice","2","196.91303316452854","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","43","90537","0.0-2.2-5.2","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","2","500","","","","","","","","",""
"","html-keyboard-response","44","92038","0.0-2.2-6.2","","null","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">blue</div></div>","null","practice_trial","1500","","","practice","2","1000","incongruent","#FF7070","blue",",","["","",""."",""/""]","0","","",""
"","html-keyboard-response","45","92540","0.0-2.2-7.2","","null","<div class=center-box><div class=center-text><font size =20>Respond Faster!</font></div></div>","null","practice_feedback","500","","","practice","2","500","","","","","","","","",""
"","html-keyboard-response","46","92993","0.0-2.2-8.2","","null","<div class = centerbox><div class = fixation>+</div></div>","null","practice_ITI","451.1614777606748","","","practice","2","451.1614777606748","","","","","","","{""min"":0,""max"":5,""mean"":0.5}","",""
"","html-keyboard-response","47","93494","0.0-2.2-9.2","","null","<div class=""centerbox""><div class=""fixation"">+</div></div>","null","practice_fixation","500","","","practice","2","500","","","","","","","","",""
"","html-keyboard-response","48","94995","0.0-2.2-10.2","","895","<div class = centerbox><div class = stroop-stim style = ""color:#FF7070"">green</div></div>",",","practice_trial","1500","","","practice","2","1000","incongruent","#FF7070","green",",","["","",""."",""/""]","1","","",""
