"block_i","trial_i","stim","signal","SSD","response","rt","correct","focus","Fullscreen","time_elapsed","window_resolution"
"0","1","right","no","200","rightarrow","639","true","focus","yes","23889","1280 x 800"
"0","2","left","no","200","leftarrow","607","true","focus","yes","26002","1280 x 800"
"0","3","right","no","200","rightarrow","663","true","focus","yes","28172","1280 x 800"
"0","4","left","yes","200","undefined","NaN","true","focus","yes","30931","1280 x 800"
"0","5","right","no","250","rightarrow","485","true","focus","yes","32921","1280 x 800"
"0","6","left","no","250","leftarrow","611","true","focus","yes","35038","1280 x 800"
"0","7","right","yes","250","undefined","NaN","true","focus","yes","37795","1280 x 800"
"0","8","left","no","300","leftarrow","595","true","focus","yes","39895","1280 x 800"
"0","9","right","no","300","rightarrow","665","true","focus","yes","42066","1280 x 800"
"0","10","right","yes","300","undefined","NaN","true","focus","yes","44825","1280 x 800"
"0","11","left","no","350","leftarrow","688","true","focus","yes","47018","1280 x 800"
"0","12","left","no","350","leftarrow","598","true","focus","yes","49120","1280 x 800"
"0","13","right","no","350","rightarrow","769","true","focus","yes","51392","1280 x 800"
"0","14","left","no","350","leftarrow","721","true","focus","yes","53619","1280 x 800"
"0","15","left","yes","350","undefined","NaN","true","focus","yes","56380","1280 x 800"
"0","16","right","no","400","rightarrow","576","true","focus","yes","58461","1280 x 800"
"0","17","left","no","400","leftarrow","802","true","focus","yes","60766","1280 x 800"
"0","18","left","no","400","leftarrow","750","true","focus","yes","63020","1280 x 800"
"0","19","right","no","400","rightarrow","527","true","focus","yes","65053","1280 x 800"
"0","20","right","yes","400","undefined","NaN","true","focus","yes","67811","1280 x 800"
"0","21","left","no","450","leftarrow","683","true","focus","yes","70000","1280 x 800"
"0","22","right","no","450","rightarrow","675","true","focus","yes","72179","1280 x 800"
"0","23","right","no","450","rightarrow","969","true","focus","yes","74654","1280 x 800"
"0","24","left","yes","450","undefined","NaN","true","focus","yes","77411","1280 x 800"
"0","25","left","no","500","leftarrow","740","true","focus","yes","79656","1280 x 800"
"0","26","left","no","500","leftarrow","546","true","focus","yes","81707","1280 x 800"
"0","27","left","no","500","leftarrow","621","true","focus","yes","83832","1280 x 800"
